"regime","sample_size","horizon","method","replications","mean_rmse","sd_rmse","mean_mae","sd_mae","mean_mase","mean_relative_rmse","mean_computation_time_seconds","rmse_win_rate"
"heteroskedastic",200,1,"BG",2,1.20770496270407,0.278518845840337,0.990393663806455,0.233982998858747,1.10574344490729,1.00084464369634,0,0.5
"heteroskedastic",200,1,"BMA_DMA",2,1.21529411396066,0.251705260496968,0.996231146501846,0.212126366377742,1.11199976426522,1.00991957126453,0,0.5
"heteroskedastic",200,1,"GR",2,1.39441162556105,0.17219703638841,1.07391660807395,0.2492459106041,1.19894397646419,1.17013969866344,0.00500000000000256,0
"heteroskedastic",200,1,"SA",2,1.20647649789254,0.276457477846331,0.988690544653116,0.232668126590671,1.10383171408152,1,0,0
"heteroskedastic",200,1,"SL",2,1.21851761727124,0.272322501830322,0.999462801380733,0.224107442645704,1.1157338318577,1.01065274951484,1.67499999999998,0
"heteroskedastic",200,1,"XGB_STACK",2,1.31388163455463,0.294064851794729,1.09047332361234,0.270934959513083,1.21762875459658,1.0897068676161,0.815000000000019,0
"heteroskedastic",200,3,"BG",2,1.46026887135887,0.328728493242934,1.18032668082049,0.30783151645067,1.31812323885266,0.998993492780808,0,0.5
"heteroskedastic",200,3,"BMA_DMA",2,1.47712515227443,0.30301908443661,1.20099434410127,0.282665364574751,1.34086044526941,1.01286339995543,0,0
"heteroskedastic",200,3,"GR",2,1.49692703805426,0.289264249041229,1.20392818694436,0.261150914348673,1.34388649309429,1.02785357048574,0,0
"heteroskedastic",200,3,"SA",2,1.4618566570569,0.330091864936966,1.179238249181,0.309664232832107,1.31693151806234,1,0,0
"heteroskedastic",200,3,"SL",2,1.45531018430332,0.311816842051986,1.17015093650691,0.289437705561806,1.3065826993266,0.996852990956972,1.08,0
"heteroskedastic",200,3,"XGB_STACK",2,1.44769103043987,0.296041756363759,1.1834694000139,0.249646996344228,1.32096995865978,0.992754880785389,0.899999999999991,0.5
"linear_ar2",200,1,"BG",2,0.993355569123087,0.0291604283576458,0.784900870450542,0.00431859188669971,0.952249050221034,1.00137484830224,0,0
"linear_ar2",200,1,"BMA_DMA",2,1.0174395671732,0.0413108507633879,0.809871725397926,0.0206742309194529,0.982000100170346,1.02548469377376,0.00999999999999801,0
"linear_ar2",200,1,"GR",2,1.04678098217747,0.0537828754908193,0.827011937330798,0.0519967119392481,1.001747634007,1.05489193475974,0,0
"linear_ar2",200,1,"SA",2,0.991989692390778,0.0289808341098806,0.785833681756369,0.0102146883227893,0.953183212072342,1,0.00999999999999801,1
"linear_ar2",200,1,"SL",2,1.01161331638819,0.0443255903748438,0.81310296551171,0.0314350202674787,0.985560040322497,1.01956447639985,1.80500000000004,0
"linear_ar2",200,1,"XGB_STACK",2,1.08552863739045,0.000223869182190283,0.855778269371823,0.0277681083540604,1.03746494743529,1.09476476275299,0.744999999999955,0
"linear_ar2",200,3,"BG",2,1.24242041596103,0.0689242083005976,0.952145376379163,0.0277024700435217,1.15439839975701,0.9996181795896,0.00499999999999545,0.5
"linear_ar2",200,3,"BMA_DMA",2,1.27775827165524,0.11991259323772,1.02721103902308,0.133934933987849,1.2419204646196,1.02693367977449,0.0100000000000051,0
"linear_ar2",200,3,"GR",2,1.22426355726276,0.115085512137753,0.95225293689261,0.0866941158288536,1.15255082806751,0.983935605764654,0.00999999999999801,0.5
"linear_ar2",200,3,"SA",2,1.2429314986939,0.0702429616058493,0.949006534850903,0.0238713026686222,1.15071821408464,1,0,0
"linear_ar2",200,3,"SL",2,1.25248185817657,0.080128140190699,0.994596292080489,0.0861587108450271,1.20394794624146,1.00747093704752,1.41499999999999,0
