"regime","sample_size","horizon","method_a","method_b","loss","replications","mean_dm_stat","mean_p_value","rejection_rate_5pct","share_favoring_method_a","share_favoring_method_b"
"heteroskedastic",200,3,"SA","BMA_DMA","squared",2,-0.50129045880876,0.556198136024923,0,0.5,0.5
"heteroskedastic",200,3,"SA","GR","absolute",2,-0.347906215291581,0.62281241609714,0,0.5,0.5
"heteroskedastic",200,3,"SA","GR","squared",2,-0.360593671635415,0.725343288719185,0,1,0
"heteroskedastic",200,3,"SA","SL","absolute",2,0.146228613490788,0.568863475815024,0,0.5,0.5
"heteroskedastic",200,3,"SA","SL","squared",2,0.133643399371274,0.538470484204978,0,0.5,0.5
"heteroskedastic",200,3,"SA","XGB_STACK","absolute",2,-0.0656190244192409,0.450364097281867,0,0.5,0.5
"heteroskedastic",200,3,"SA","XGB_STACK","squared",2,0.278562271240149,0.701780874247573,0,0.5,0.5
"heteroskedastic",200,3,"SL","XGB_STACK","absolute",2,-0.221822469850643,0.625523775925268,0,0.5,0.5
"heteroskedastic",200,3,"SL","XGB_STACK","squared",2,0.177075925126631,0.829275836813067,0,0.5,0.5
"linear_ar2",200,1,"BG","BMA_DMA","absolute",2,-1.79912528667341,0.136324551082776,0.5,1,0
"linear_ar2",200,1,"BG","BMA_DMA","squared",2,-1.74814523922094,0.106193756117877,0.5,1,0
"linear_ar2",200,1,"BG","GR","absolute",2,-1.18413990893826,0.38245237732016,0.5,1,0
"linear_ar2",200,1,"BG","GR","squared",2,-1.70830873676136,0.0904967159859961,0,1,0
"linear_ar2",200,1,"BG","SL","absolute",2,-2.23232382014886,0.0698480938323132,0.5,1,0
"linear_ar2",200,1,"BG","SL","squared",2,-1.35955471243144,0.193683468539197,0,1,0
"linear_ar2",200,1,"BG","XGB_STACK","absolute",2,-2.05694667505643,0.108196270635862,0.5,1,0
"linear_ar2",200,1,"BG","XGB_STACK","squared",2,-2.2140636903374,0.0358424185688579,0.5,1,0
"linear_ar2",200,1,"BMA_DMA","SL","absolute",2,-0.0569707479719986,0.645750126663727,0,0.5,0.5
"linear_ar2",200,1,"BMA_DMA","SL","squared",2,0.436765269406822,0.674512346642913,0,0,1
"linear_ar2",200,1,"BMA_DMA","XGB_STACK","absolute",2,-1.17569050916516,0.262635289631318,0,1,0
"linear_ar2",200,1,"BMA_DMA","XGB_STACK","squared",2,-1.40962717782262,0.162479060867353,0,1,0
"linear_ar2",200,1,"GR","BMA_DMA","absolute",2,0.457964356705571,0.57114094794533,0,0.5,0.5
"linear_ar2",200,1,"GR","BMA_DMA","squared",2,0.828683722978535,0.4119008428784,0,0,1
"linear_ar2",200,1,"GR","SL","absolute",2,0.41460559438392,0.686031498573841,0,0.5,0.5
"linear_ar2",200,1,"GR","SL","squared",2,1.20780238011658,0.227123981279669,0,0,1
