"regime","sample_size","horizon","replication","initial_train_size","evaluation_origins","method","rmse","mae","mase","relative_rmse","computation_time_seconds","xgb_stack_engine"
"linear_ar2",200,1,1,100,100,"SA",1.01248223671432,0.793056557137121,0.924682495504757,1,0.019999999999996,""
"linear_ar2",200,1,1,100,100,"BG",1.01397510575708,0.787954576058805,0.918733723562758,1.00147446442874,0,""
"linear_ar2",200,1,1,100,100,"GR",1.08481121814874,0.863779164942444,1.00714314334317,1.07143728434105,0,""
"linear_ar2",200,1,1,100,100,"BMA_DMA",1.04665074988458,0.824490614276887,0.961333755920239,1.03374727173599,0.019999999999996,""
"linear_ar2",200,1,1,100,100,"SL",1.04295624192234,0.835330881509581,0.973973214312527,1.03009831096585,1.87000000000002,""
"linear_ar2",200,1,1,100,100,"XGB_STACK",1.08537033797363,0.875413287089702,1.02070821509413,1.07198951114031,0.759999999999977,"xgboost"
"linear_ar2",200,3,1,100,98,"SA",1.29260077317602,0.965886094843642,1.1261970618811,1,0,""
"linear_ar2",200,3,1,100,98,"BG",1.29115719103829,0.971733980802554,1.13301553873908,0.998883195672105,0,""
"linear_ar2",200,3,1,100,98,"GR",1.30564130331169,1.01355493408416,1.18177763911743,1.0100885984337,0,""
"linear_ar2",200,3,1,100,98,"BMA_DMA",1.36254927948329,1.12191733908366,1.30812527242564,1.05411454778524,0,""
"linear_ar2",200,3,1,100,98,"SL",1.30914100946928,1.0555197007773,1.23070742204384,1.01279609036023,1.20999999999997,""
"linear_ar2",200,3,1,100,98,"XGB_STACK",1.29617761456723,1.04902700872002,1.22313711871549,1.00276716637143,0.960000000000036,"xgboost"
"linear_ar2",200,1,2,100,100,"SA",0.971497148067239,0.778610806375618,0.981683928639927,1,0,""
"linear_ar2",200,1,2,100,100,"BG",0.972736032489091,0.78184716484228,0.98576437687931,1.00127523217574,0,""
"linear_ar2",200,1,2,100,100,"GR",1.0087507462062,0.790244709719152,0.996352124670831,1.03834658517843,0,""
"linear_ar2",200,1,2,100,100,"BMA_DMA",0.988228384461827,0.795252836518964,1.00266644442045,1.01722211581153,0,""
"linear_ar2",200,1,2,100,100,"SL",0.980270390854045,0.790875049513839,0.997146866332467,1.00903064183385,1.74000000000007,""
"linear_ar2",200,1,2,100,100,"XGB_STACK",1.08568693680728,0.836143251653944,1.05422167977646,1.11754001436568,0.729999999999933,"xgboost"
"linear_ar2",200,3,2,100,98,"SA",1.19326222421177,0.932126974858163,1.17523936628818,1,0,""
"linear_ar2",200,3,2,100,98,"BG",1.19368364088376,0.932556771955772,1.17578126077493,1.0003531635071,0.00999999999999091,""
"linear_ar2",200,3,2,100,98,"GR",1.14288581121382,0.890950939701055,1.12332401701759,0.957782613095603,0.019999999999996,""
"linear_ar2",200,3,2,100,98,"BMA_DMA",1.19296726382718,0.932504738962498,1.17571565681357,0.999752811763746,0.0200000000000102,""
"linear_ar2",200,3,2,100,98,"SL",1.19582270688386,0.93367288338368,1.17718847043909,1.00214578373482,1.62000000000002,""
"linear_ar2",200,3,2,100,98,"XGB_STACK",1.1937716247132,0.948645143801465,1.19606571605037,1.0004268973668,0.689999999999998,"xgboost"
"nonlinear_threshold",200,1,1,100,100,"SA",0.987958641094952,0.770797059497734,0.781043797621832,1,0,""
"nonlinear_threshold",200,1,1,100,100,"BG",0.987946681603254,0.772361552131014,0.782629088137138,0.999987894744576,0,""
"nonlinear_threshold",200,1,1,100,100,"GR",1.07240479619138,0.845691562333374,0.856933924854366,1.08547539500524,0.0300000000000011,""
"nonlinear_threshold",200,1,1,100,100,"BMA_DMA",0.991725981360752,0.777259941634518,0.787592595318316,1.00381325706269,0,""
"nonlinear_threshold",200,1,1,100,100,"SL",0.999002155173424,0.782022749509946,0.792418718491115,1.01117811375811,1.84999999999997,""
"nonlinear_threshold",200,1,1,100,100,"XGB_STACK",1.04393641669906,0.82394434320606,0.834897604910464,1.056660039475,0.860000000000042,"xgboost"
"nonlinear_threshold",200,3,1,100,98,"SA",1.12541584392887,0.880805705838173,0.892514864941369,1,0,""
"nonlinear_threshold",200,3,1,100,98,"BG",1.11795456792608,0.874902765178427,0.886533452411034,0.993370205295196,0,""
"nonlinear_threshold",200,3,1,100,98,"GR",1.18730865872209,0.92500030882472,0.937296977334862,1.05499550688495,0,""
"nonlinear_threshold",200,3,1,100,98,"BMA_DMA",1.10560196965547,0.861218401974152,0.872667173507392,0.982394175112883,0.019999999999996,""
